,post_id,title,agency_id,post_url,category_id,image_url,contents,published_date_and_time,author_name,main_category_id,sub_category_id,media_type,slug,urgency,source_id,status,created_at,updated_at,deleted_at,tweet_created_at,tweet_text,tweet_id,vdo_title,vdo_description,vdo_published_at,vdo_thumbnail,vdo_url,active_id,trending_count
13,26,'اكد وزير الدولة لشؤون مجلس الامة و وزير الدولة لشئون الاسكان والتطوير العمراني عمار العجمي ان سياسة الأبواب المفتوحة ستكون دائمة وليست مؤقتة وهذا المنهج سيكون في جميع قطاعات المؤسسة',المؤسسة العامة للرعاية السكنية,https://www.pahw.gov.kw/Downloads/External-MainNews/AR/AR61106042022.pdf,أخبار محلية,https://www.pahw.gov.kw/images/External/123-061122-476930_thumb.png,"https://www.pahw.gov.kw
                                    'وأضاف العجمي تصريح صحفي عقب لقائه عدد من المواطنين في'
                                ",2022-11-06T00:00:00,Public Authority for Housing Welfare,2,3,text,اكد-وزير-الدولة-لش-ون-مجلس-الامة-و-وزير-الدولة-لش-ون-الاسكان-والتطوير-العمراني-عمار-العجمي-ان-سياسة-ال-بواب-المفتوحة-ستكون-دا-مة-وليست-م-قتة-وهذا-المنهج-سيكون-في-جميع-قطاعات-الم-سسة,Medium,1,1,2022-11-07 18:04:03,2022-11-08 08:55:02,,,,,,,,,,,
14,27,"
                                    توضيح بشأن مؤشّر ميرسر CFA",المؤسسة العامة للتأمينات الاجتماعية,http://www.pifss.gov.kw/sites/Ar/Pages/NewsDetails.aspx?item=3RTIwpZiU9vBKdpRJ08r3Q==,أخبار محلية,,"





الكويت 25 أكتوبر 2022 – توضيحًا للأخبار المتداولة بشأن خروج المؤسسة العامة للتأمينات الاجتماعية من قائمة ""أفضل الأنظمة للمعاشات التقاعدية لعام 2022"" طبقًا لمؤشّر ميرسر CFA، تودّ التأمينات التوضيح بأنها لم تكن بالأساس جزءًا من عينة الدراسة، إذ أن (Mercer - CFA Institute) تُعدّ سنويًا دراسة لقياس مؤشّر المعاشات التقاعدية العالمي وذلك بناءً على معايير محددة تشمل كلًا من النزاهة، الاستدامة والمواءمة، بحيث يتم اختيار بعض الدول ضمن هذه الدراسة وعرض نتائجها في نطاق الدول التي تم اختيارها دون غيرها.

ولقد شملت الدراسة مؤخرًا من الدول العربية كلًا من المملكة العربية السعودية ودولة الإمارات العربية المتحدة فقط، ولم تشمل دولًا عربية أخرى ومن ضمنها دولة الكويت، وعليه فإن ما تم نشره عبر مواقع التواصل الاجتماعي وغيرها من مواقع إخبارية من أن الدراسة أظهرت دولة الكويت خارج قائمة ""أفضل الأنظمة للمعاشات التقاعدية"" بسبب عدم استدامة نظامها التقاعدي غير صحيح لعدم شمول الدراسة بيانات دولة الكويت.​

وتؤكّد التأمينات بأنها تعمل جاهدة لتحقيق الأهداف التي أنشأت من أجلها من خلال تطوير القوانين والمحافظة على استدامة أنظمتها، كما تعكف على تقديم حلول لضمان استمرار أنظمتها على المدى البعيد بالتعاون مع الجهات الأخرى في الدولة.


",2022-10-25T00:00:00,Public Institution for Social Security in Kuwait,2,3,text,توضيح-بش-ن-م-ش-ر-ميرسر-CFA,Very Low,1,1,2022-11-07 18:04:02,2022-11-08 08:55:02,,,,,,,,,,,
16,29,ممثل سمو أمير البلاد سمو ولي العهد يستقبل رئيسة مجلس الوزراء التونسية بمقر إقامة سموه بمدينة شرم الشيخ,الوطن,http://alwatan.kuwait.tt/articledetails.aspx?id=694991&yearquarter=20224,أخبار محلية,http://watanmedia.seyasi.com/resources/media/images/2022/11/725458_e.png,"
                                    (كونا) -- استقبل ممثل حضرة صاحب السمو أمير البلاد الشيخ نواف الأحمد الجابر الصباح حفظه الله ورعاه سمو ولي العهد الشيخ مشعل الأحمد الجابر الصباح حفظه الله اليوم رئيسة مجلس الوزراء في الجمهورية التونسية الشقيقة الدكتورة نجلاء بودن وذلك في مقر إقامة سموه بمدينة شرم الشيخ في جمهورية مصر العربية الشقيقة.

وقد جرى خلال اللقاء استعراض العلاقات الأخوية الوطيدة بين البلدين وسبل دعمها وتعزيزها لما فيه مصلحة البلدين والشعبين الشقيقين بالإضافة إلى مناقشة أبرز المستجدات على الساحتين الإقليمية والدولية متمنيا سموه لها دوام الصحة وموفور العافية وللبلد الشقيق قيادة وشعبا مزيدا من التقدم والازدهار.

حضر اللقاء معالي نائب رئيس مجلس الوزراء ووزير النفط الدكتور بدر حامد الملا ومعالي وزير الخارجية الشيخ سالم عبدالله الجابر الصباح وسعادة سفير دولة الكويت لدى جمهورية مصر العربية الشقيقة والمندوب الدائم لدى جامعة الدول العربية غانم صقر الغانم وكبار المسؤولين بديوان سمو ولي العهد.
                                 ",2022-11-07T00:00:00,alwatan,1,2,text,ممثل-سمو-مير-البلاد-سمو-ولي-العهد-يستقبل-ر-يسة-مجلس-الوزرا-التونسية-بمقر-قامة-سموه-بمدينة-شرم-الشيخ,Very High,1,1,2022-11-07 18:04:03,2022-11-08 08:55:02,,,,,,,,,,,
18,31,البديوي : الكويت لا تزال  وجهة جاذبة للمستثمرين الدولي...,الصباح,http://www.alsabahpress.com/local/2022-11-07/79674/,أخبار محلية,http://www.alsabahpress.com//media/cache/46/28/46288adccc657fff9251cd33029e5cf4.jpg,"
                
	واشنطن – ""كونا"" :  أكد السفير الكويتي لدى الولايات المتحدة جاسم البديوي ان د...
                


            ",2022-11-07T18:07:41.030169,,1,1,text,البديوي-الكويت-لا-تزال-وجهة-جاذبة-للمستثمرين-الدولي,High,1,1,2022-11-07 18:04:03,2022-11-08 08:55:02,,,,,,,,,,,
19,32,ممثل الأمير التقى ولي العهد السعودي على هامش قمة مبادرة الشرق الأوسط الأخضر,جريدة القبس,https://www.alqabas.com/article/5898400,أخبار محلية,https://dqnxlhsgmg1ih.cloudfront.net/storage/attachments/5899/ممثل-الأمير-التقى-ولي-العهد-السعودي-على-هامش-قمة-مبادرة-الشرق-الأوسط-الأخضر-1667842942472_large.jpeg,التقى ممثل سمو أمير البلاد الشيخ نواف الأحمد سمو ولي العهد الشيخ مشعل الأحمد ولي العهد السعودي الأمير محمد بن...,2022-11-07T17:39:19.857000+00:00,alqabas,1,1,text,ممثل-ال-مير-التقى-ولي-العهد-السعودي-على-هامش-قمة-مبادرة-الشرق-ال-وسط-ال-خضر,Very High,1,1,2022-11-07 18:04:03,2022-11-08 08:55:02,,,,,,,,,,,
20,34,جهاز متابعة الأداء الحكومي يقدم تقريراً بشأن تجمع مياه الصرف الصحي ومياه الأمطار في مدينة صباح الأحمد السكنية.,جهاز متابعة الأداء الحكومي,https://www.gpf.gov.kw/Ar/newsdetails.aspx?id=2066 &action=3.2,أخبار محلية,https://controlpanel.gpf.gov.kw/Uploads/News/2066_NewsAlbum_e3649f60-cf03-4443-9813-6c040dc638ef.jpg," 
                            


                        


                            
                                    


                                        


                                            


                                                


                                            


                                        


                                    


                                
                                    


                                        


                                            


                                                


                                            


                                        


                                    


                                
                        


	تدارس مجلس الوزراء التقرير المقدم من جهاز متابعة الأداء الحكومي بشأن تجمع مياه الصرف الصحي ومياه الأمطار في مدينة صباح الأحمد السكنية ، والمتضمن أهم الإجراءات المتخذة من قبل الجهاز بالتنسيق مع الجهات المعنية ومن خلال الزيارات الميدانية لمتابعة ما تعانيه المدينة في الوقت الحالي من العديد من المشاكل البيئية جراء تجمع كميات كبيرة من المياه الملوثة ، وقد اشتمل التقرير على أهم الملاحظات التي تكشفت للجهاز فيما يخص الجهات المعنية والعقود وآليات تنفيذها بالإضافة إلى التوصيات التي أنتهى إليها الجهاز في هذا الشأن. 


	 


	وقرر مجلس الوزراء تكليف الجهات المعنية بالإسراع في تنفيذ التوصيات الواردة في التقرير ، مشيداً بالجهود التي بذلت في إعداد هذا التقرير وما يقوم به الجهاز في مجال متابعة أداء الجهات الحكومية لتحقيق الأهداف المنشودة.


	 


	كما قرر مجلس الوزراء بناء على توجيهات سمو رئيس مجلس الوزراء تكليف الجهات المعنية بإجراء التحقيقات اللازمة عن كل ما تضمنه التقرير من أوجه الخلل والقصور والإهمال وإحالة كل من يثبت تقصيره أو إهماله أو تراخيه أو تسببه في ذلك إلى النيابة العامة.


                            


                            


                            


                            


                            


                                


                            


                        ",2022-10-31T00:00:00,government performance follow up,2,3,text,جهاز-متابعة-ال-دا-الحكومي-يقدم-تقريرا-بش-ن-تجمع-مياه-الصرف-الصحي-ومياه-ال-مطار-في-مدينة-صباح-ال-حمد-السكنية,Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:02,,,,,,,,,,,
21,35,"
                                    الذكرى السنوية 45 للتأمينات: ريادة وارتقاء ",المؤسسة العامة للتأمينات الاجتماعية,http://www.pifss.gov.kw/sites/Ar/Pages/NewsDetails.aspx?item=R5m2VA64LoWKemZAefCdTg==,أخبار محلية,,"





وجديرٌ بالذكر أن التأمينات انطلقت كمؤسسة رسمية عام 1977م بموجب الأمر الأميري بالقانون رقم (61) لسنة 1976م، لتكون الجهة المختصة بتقديم خدمات تأمينية واجتماعية مستدامة، تكفل للمواطنين العاملين في البلاد وخارجها معيشةً كريمةً بعد التقاعد، أو التوقف عن العمل. وعلى مر السنوات، استطاعت التأمينات بسواعد موظفيها الارتقاء بمستوى خدماتها، والاعتماد على أحدث وسائل التكنولوجيا في أعمالها، حتى أصبحت اليوم نموذجًا رائدًا للمؤسسات الحكومية التي أدركت بنجاح ركب التطور الإداري والرقمي، وأحدثت تطورًا واضحًا، يلمسه كل من يتعامل معها.​


",2022-10-01T00:00:00,Public Institution for Social Security in Kuwait,2,3,text,الذكرى-السنوية-45-للت-مينات-ريادة-وارتقا,Very Low,1,1,2022-11-07 18:04:02,2022-11-08 08:55:02,,,,,,,,,,,
27,41,الجهاز يبحث آخر مستجدات مشروع شبكة سكك الحديد,جهاز متابعة الأداء الحكومي,https://www.gpf.gov.kw/Ar/newsdetails.aspx?id=2065 &action=3.2,أخبار محلية,https://controlpanel.gpf.gov.kw/Uploads/News/2065_NewsAlbum_36f8b914-5be6-41e1-9a7d-f8de753de239.jpg," 
                            


                        


                            
                                    


                                        


                                            


                                                


                                            


                                        


                                    


                                
                        


	ترأس معالي الشيخ/ أحمد مشعل الأحمد الصباح رئيس جهاز متابعة الأداء الحكومي اجتماعاً مع المختصين في الهيئة العامة للطرق والنقل البري لمتابعة آخر مستجدات مشروع شبكة سكك الحديد.


	 


	و قد تم تقديم عرض مرئي إلى الجهاز يوضح أبرز المستجدات عن المشروع.


	 


	وأكد معالي الشيخ أحمد المشعل على أن الجهاز على أتم الاستعداد لتذليل الصعوبات والعقبات التي قد يواجهها تنفيذ المشروع.


                            


                            


                            


                            


                            


                                


                            


                        ",2022-05-16T00:00:00,government performance follow up,2,3,text,الجهاز-يبحث-خر-مستجدات-مشروع-شبكة-سكك-الحديد,Low,1,1,2022-11-07 18:04:03,2022-11-08 08:55:02,,,,,,,,,,,
31,45,«التربية» تغلق باب النقل بين المدارس 20 الجاري,جريدة القبس,https://www.alqabas.com/article/5898399,أخبار محلية,https://dqnxlhsgmg1ih.cloudfront.net/storage/attachments/5899/التربية-تغلق-باب-النقل-بين-المدارس-20-الجاري-1667842715396_large.jpeg,هاني الحمادي -أصدر الوكيل المساعد للتعليم العام في وزارة التربية، أسامة السلطان، نشرة عامة إلى مديري المناطق التعليمية والتعليم الخاص،...,2022-11-07T17:38:51.880000+00:00,alqabas,1,1,text,التربية-تغلق-باب-النقل-بين-المدارس-20-الجاري,Very High,1,1,2022-11-07 18:04:03,2022-11-08 08:55:03,,,,,,,,,,,
36,51,ممثل سمو أمير البلاد سمو ولي العهد يلتقي في شرم الشيخ بالمبعوث الرئاسي الأمريكي لشؤون تغيير المناخ,الوطن,http://alwatan.kuwait.tt/articledetails.aspx?id=694987&yearquarter=20224,أخبار محلية,http://watanmedia.seyasi.com/resources/media/images/2022/11/725454_e.png,"
                                    (كونا) -- التقى ممثل حضرة صاحب السمو أمير البلاد الشيخ نواف الأحمد الجابر الصباح حفظه الله ورعاه سمو ولي العهد الشيخ مشعل الأحمد الجابر الصباح حفظه الله اليوم المبعوث الرئاسي للولايات المتحدة الأمريكية لشؤون تغيير المناخ جون كيري وذلك على هامش مؤتمر قمة قادة العالم للدورة ال 27 لمؤتمر أطراف اتفاقية الأمم المتحدة الإطارية لتغيير المناخ COP27 المقام في مدينة شرم الشيخ بجمهورية مصر العربية الشقيقة.

وقد جرى خلال اللقاء استعراض العلاقات الوطيدة بين البلدين الصديقين وسبل دعمها وتعزيزها لما فيه مصلحة البلدين والشعبين الصديقين إضافة إلى مناقشة أبرز المستجدات على الساحتين الإقليمية والدولية متمنيا سموه له دوام الصحة وموفور العافية وللبلد الصديق قيادة وشعبا مزيدا من التقدم والازدهار.

حضر اللقاء معالي وزير الخارجية الشيخ سالم عبدالله الجابر الصباح وكبار المسؤولين بديوان سمو ولي العهد.
                                 ",2022-11-07T00:00:00,alwatan,1,2,text,ممثل-سمو-مير-البلاد-سمو-ولي-العهد-يلتقي-في-شرم-الشيخ-بالمبعوث-الر-اسي-ال-مريكي-لش-ون-تغيير-المناخ,Very High,1,1,2022-11-07 18:04:03,2022-11-08 08:55:03,,,,,,,,,,,
